driverId,week,hours-logged,miles-logged
15,9,74,2200
75,47,51,3000
63,40,59,1400
45,36,59,1900
55,17,74,1100
53,41,59,2800
39,31,67,200
19,15,71,3900
22,18,54,3100
11,33,64,600
73,8,66,900
93,48,55,2100
52,46,64,800
54,35,55,2500
98,41,65,300
21,34,77,2600
17,12,67,1800
22,24,68,2400
92,12,66,3100
103,35,73,1400
62,10,54,0
103,30,65,1700
58,39,75,500
34,48,54,800
87,29,79,3100
23,33,73,300
21,29,62,100
40,31,51,2100
64,5,60,3800
40,17,67,2700
63,49,58,2500
86,11,77,800
94,8,68,1000
58,10,56,2600
41,29,56,0
64,21,75,200
83,46,52,3900
58,34,60,3500
98,6,74,3400
37,23,74,3200
106,50,79,2800
108,20,77,3800
71,29,78,3200
91,7,79,2400
56,31,54,1300
95,52,71,900
20,4,60,1200
55,8,70,3600
48,20,74,4000
38,49,63,2300
29,48,77,1400
107,48,72,2300
65,8,72,1200
48,39,70,500
58,13,80,400
96,20,75,1900
93,35,77,1000
54,22,51,700
55,51,50,2000
58,1,51,800
11,52,51,2200
10,4,57,900
84,6,56,3100
75,1,70,800
52,40,63,3500
16,17,60,1100
10,31,51,1700
85,50,80,2900
93,10,63,2300
61,6,56,200
63,27,72,3200
72,50,69,1200
16,7,56,2200
27,43,65,300
89,31,52,3900
86,28,63,300
101,25,61,2900
60,16,73,3600
76,1,80,2300
64,18,73,3800
20,12,75,4000
62,19,62,2300
55,4,69,3000
79,44,75,3500
68,1,62,3800
51,36,75,1500
102,16,63,100
90,23,69,200
10,44,74,3600
62,41,66,800
21,37,55,3900
80,16,71,3200
96,26,51,1600
94,9,51,3200
67,51,74,2600
44,45,74,200
76,22,78,2300
54,7,54,1100
21,30,53,900
94,2,67,600
88,42,77,3200
93,18,61,2900
44,23,66,0
94,45,77,3500
89,46,53,2000
27,27,73,3100
105,16,58,2500
63,28,79,2900
49,29,77,2700
66,38,53,800
26,51,67,700
43,50,54,2800
22,16,75,500
28,33,54,3600
51,37,56,2400
29,44,64,3200
66,32,60,1500
57,47,65,2800
100,33,61,900
11,35,72,3500
49,47,73,1300
29,7,67,2700
80,50,77,3800
56,14,51,3600
19,30,75,2100
13,18,64,100
45,12,50,2600
36,5,52,3700
71,14,57,0
85,50,59,1600
95,15,66,1800
44,16,76,3700
97,9,54,1700
22,32,50,1400
37,38,51,1000
108,31,66,1600
80,42,63,2400
83,34,56,3200
17,17,79,2900
37,50,64,2500
76,51,54,2600
29,45,73,4000
78,27,74,2600
97,3,70,2300
80,28,78,1000
64,21,50,3200
27,37,68,3300
108,25,53,2200
98,26,68,2600
71,18,65,2900
37,11,71,1900
58,6,69,600
39,3,51,1700
88,50,71,3300
78,36,65,4000
101,36,65,1700
75,32,64,1300
67,43,57,3800
39,17,73,1400
47,1,76,1300
58,33,65,2200
42,45,53,2700
84,44,77,0
73,33,70,1200
105,27,65,800
90,6,69,1600
53,50,67,1600
108,18,75,1700
26,23,71,1800
33,49,56,2700
44,24,55,1400
25,25,62,2000
33,30,53,2600
100,21,50,1400
96,50,64,3300
89,36,80,700
108,41,65,0
66,14,52,300
44,2,70,1400
109,8,53,2900
49,28,58,2900
88,7,59,400
50,7,76,100
85,39,53,3600
31,18,52,2100
45,32,51,2700
20,38,69,3000
20,34,76,2700
43,5,53,2800
103,12,75,2100
52,36,69,1500
63,23,73,300
44,13,50,3900
51,15,62,1600
80,34,60,3000
45,23,62,3700
48,48,70,400
77,34,57,3800
58,8,75,2900
90,24,80,100
17,10,61,400
12,20,54,2800
100,23,57,600
71,39,54,3200
26,2,70,1200
20,21,66,1900
98,26,61,0
51,36,70,1900
90,47,75,2800
17,44,57,1400
69,49,65,2400
93,39,78,1800
61,14,65,1500
104,3,77,3800
42,46,60,3300
93,10,71,700
19,5,57,1800
107,12,54,3000
91,39,71,2900
97,45,52,3300
88,32,66,4000
82,8,62,1900
28,5,79,1900
103,33,74,2800
99,14,52,200
79,5,52,3700
27,10,61,1900
28,48,56,1900
38,8,54,1400
13,43,57,1900
98,33,51,1300
20,37,53,3700
56,42,60,2400
103,7,66,2800
65,51,63,3200
36,40,52,1000
80,37,66,3900
46,15,62,100
80,37,59,300
72,5,64,1200
17,8,52,1600
19,15,54,300
47,48,67,3800
52,9,78,0
71,35,69,3700
94,38,62,1300
60,12,50,1400
21,39,70,2000
25,3,61,3300
66,42,71,1000
86,34,72,1100
97,31,52,2400
48,25,75,1200
27,46,77,2500
72,20,76,2000
82,33,51,2700
77,45,58,2000
69,32,50,200
61,52,50,3800
86,6,75,2600
59,43,80,1800
53,34,56,3100
11,14,73,2200
12,52,55,2700
59,34,80,2300
104,31,70,2500
65,25,64,3900
16,33,79,900
12,6,51,2700
93,24,76,2800
20,15,73,700
78,8,75,3000
71,23,80,200
50,15,66,2000
17,10,54,3100
104,32,58,1900
62,29,59,300
51,25,52,4000
22,30,80,1800
69,22,68,3900
108,46,52,3900
67,25,70,1700
11,52,66,3600
61,1,59,0
24,34,70,2000
66,4,77,3500
43,51,77,800
90,38,76,1400
75,22,53,300
80,28,58,1600
87,25,74,1400
62,19,80,100
35,21,53,2300
96,14,68,100
87,4,70,900
97,16,65,1200
72,15,57,4000
49,34,67,2700
73,18,56,1400
48,47,51,1000
40,46,59,900
36,47,57,1900
93,30,69,1200
85,32,58,800
38,49,70,1300
104,26,55,800
19,6,63,200
85,52,69,100
24,23,55,2700
20,41,71,600
14,29,60,3000
64,1,73,3800
91,16,71,1200
37,8,64,1000
107,43,53,3600
75,40,60,3500
30,15,54,1800
72,45,67,0
54,21,67,3200
74,13,61,2300
67,36,75,2600
36,14,79,400
83,38,60,2200
41,7,66,200
36,9,66,600
41,9,52,2200
33,21,71,3200
109,42,63,0
36,2,69,3300
94,17,57,1000
83,13,68,1300
36,51,68,1200
58,32,54,300
108,11,50,3700
33,42,50,1500
16,50,80,2900
88,30,71,0
18,47,78,3900
71,42,52,2600
25,10,61,1400
50,44,64,1600
76,48,54,100
106,50,79,1200
35,12,58,2600
53,23,75,1900
51,24,53,1500
12,26,55,3800
19,2,64,3500
105,31,63,2100
64,29,74,300
40,49,63,3400
96,23,57,4000
105,49,64,1300
35,36,54,3800
63,13,72,2300
58,14,80,3900
95,31,70,1500
87,40,58,1400
83,1,54,3700
45,46,59,1000
14,52,64,2300
29,19,60,600
26,32,57,2300
68,8,80,3900
26,43,52,900
25,20,70,2800
46,13,74,1100
97,9,61,3500
48,21,55,100
36,10,69,1900
36,51,74,1700
16,29,62,500
71,36,50,200
80,29,73,200
84,18,53,2400
19,52,74,2100
31,14,64,2500
61,43,72,3800
89,49,59,3000
40,32,75,2700
69,16,61,3600
29,36,79,2400
92,29,55,300
73,15,61,700
44,52,79,2800
91,33,78,500
56,33,65,2000
34,21,59,400
21,6,69,1900
98,5,59,2500
106,14,77,3100
46,20,67,400
61,12,57,200
68,21,73,1200
13,45,74,3700
35,18,58,1400
37,35,73,1400
51,48,66,900
99,34,50,1800
36,10,54,1000
52,34,54,500
83,34,71,2300
63,5,73,3100
44,43,65,2600
79,15,60,1400
55,9,69,100
74,48,73,100
60,10,70,800
56,10,61,2400
89,3,73,2500
66,11,67,2600
90,46,70,1800
60,6,79,500
77,48,66,900
39,20,64,4000
73,44,54,1200
72,14,73,200
53,17,68,1700
80,17,80,300
86,18,72,1400
14,30,53,2700
11,36,70,3100
103,8,70,1500
17,1,69,1800
97,39,69,2400
26,35,61,3100
77,16,58,300
53,20,69,1300
77,3,57,1200
23,15,50,2100
49,19,80,1000
16,26,73,3500
71,31,53,3700
45,41,77,3700
46,3,64,3800
68,2,76,3100
12,40,62,4000
40,41,69,1300
81,19,78,2400
45,1,56,700
70,46,62,3100
19,42,63,800
104,1,70,2800
78,7,59,2800
53,24,58,3600
109,2,76,700
64,40,55,2300
109,48,80,1500
10,20,66,3700
93,28,77,2000
108,20,78,1700
37,42,78,2900
31,42,71,3600
22,14,73,3800
14,30,55,2300
